id,title,link,expected,note,Tonkeeper JS,Tonkeeper IOS,@Wallet,MyTonWallet
ton-amount-bin-exp,Amount + bin + exp,ton://transfer/UQCae11h9N5znylEPRjmuLYGvIwnxkcCw4zVW4BJjVASi5eL?amount=1&bin=te6cckEBAQEACQAADgAAAABiaW793PSE&exp=1756198744,Confirmation screen showing amount; includes binary payload (bin); text 'bin' (default bin); valid until exp; after expiration wallet rejects.,30 секунд в будущем почему то не валидная ссылка (на много в будущее - валидно),not_ok,not_ok,not_ok,not_ok
ton-expired,Expired (invalid),ton://transfer/UQCae11h9N5znylEPRjmuLYGvIwnxkcCw4zVW4BJjVASi5eL?amount=1&exp=1756198744,Expected: Reject. Current time > exp.,,not_ok,not_ok,not_ok,not_ok
ton-amount-init,Amount + init,ton://transfer/UQCae11h9N5znylEPRjmuLYGvIwnxkcCw4zVW4BJjVASi5eL?amount=1&init=te6ccgEBAgEACwACATQBAQAI_____w%3D%3D,Confirmation screen showing amount; includes StateInit; init field present with value b5ee9c720101010100060000080f0a72a5.,,ok,ok,not_ok,partial
ton-amount-init-text,Amount + init + text,ton://transfer/UQCae11h9N5znylEPRjmuLYGvIwnxkcCw4zVW4BJjVASi5eL?amount=1&init=te6ccgEBAgEACwACATQBAQAI_____w%3D%3D&text=test,Confirmation screen showing amount and comment; includes StateInit; init field present with value b5ee9c720101010100060000080f0a72a5.,,ok,ok,not_ok,ok
ton-amount-init-bin,Amount + init + bin,ton://transfer/UQCae11h9N5znylEPRjmuLYGvIwnxkcCw4zVW4BJjVASi5eL?amount=1&init=te6ccgEBAgEACwACATQBAQAI_____w%3D%3D&bin=te6cckEBAQEACQAADgAAAABiaW793PSE,Confirmation screen showing amount; includes StateInit and binary payload (bin); init field present with value b5ee9c720101010100060000080f0a72a5; text 'bin' (default bin).,,ok,ok,not_ok,ok
ton-amount-init-bin-exp,Amount + init + bin + exp,ton://transfer/UQCae11h9N5znylEPRjmuLYGvIwnxkcCw4zVW4BJjVASi5eL?amount=1&init=te6ccgEBAgEACwACATQBAQAI_____w%3D%3D&bin=te6cckEBAQEACQAADgAAAABiaW793PSE&exp=1756198744,Confirmation screen showing amount; includes StateInit and binary payload (bin); init field present with value b5ee9c720101010100060000080f0a72a5; text 'bin' (default bin); valid until exp; after expiration wallet rejects.,,not_ok,not_ok,not_ok,not_ok
ton-amount-init-exp,Amount + init + exp,ton://transfer/UQCae11h9N5znylEPRjmuLYGvIwnxkcCw4zVW4BJjVASi5eL?amount=1&init=te6ccgEBAgEACwACATQBAQAI_____w%3D%3D&exp=1756198744,Confirmation screen showing amount; includes StateInit; init field present with value b5ee9c720101010100060000080f0a72a5; valid until exp; after expiration wallet rejects.,,not_ok,not_ok,not_ok,not_ok
jetton-only,Jetton master only,ton://transfer/UQCae11h9N5znylEPRjmuLYGvIwnxkcCw4zVW4BJjVASi5eL?jetton=EQCxE6mUtQJKFnGfaROTKOt1lZbDiiX1kCixRv7Nw2Id_sDs,Jetton send screen; user can enter amount and optional comment.,Кажется менять адрес назначения должно быть нельзя,ok,ok,not_ok,ok
jetton-text-only,Jetton + text (no amount),ton://transfer/UQCae11h9N5znylEPRjmuLYGvIwnxkcCw4zVW4BJjVASi5eL?jetton=EQCxE6mUtQJKFnGfaROTKOt1lZbDiiX1kCixRv7Nw2Id_sDs&text=test,"Jetton send screen with comment prefilled; user can enter amount. TODO: user can enter ONLY amount, not comment",Кажется менять коммент или адрес назначения должно быть нельзя,ok,ok,not_ok,partial
jetton-amount,Jetton + amount,ton://transfer/UQCae11h9N5znylEPRjmuLYGvIwnxkcCw4zVW4BJjVASi5eL?amount=1&jetton=EQCxE6mUtQJKFnGfaROTKOt1lZbDiiX1kCixRv7Nw2Id_sDs,Confirmation screen showing jetton amount; no comment.,,ok,ok,not_ok,partial
jetton-amount-text,Jetton + amount + text,ton://transfer/UQCae11h9N5znylEPRjmuLYGvIwnxkcCw4zVW4BJjVASi5eL?amount=1&jetton=EQCxE6mUtQJKFnGfaROTKOt1lZbDiiX1kCixRv7Nw2Id_sDs&text=test,Confirmation screen showing jetton amount and comment.,,ok,ok,not_ok,partial
jetton-amount-bin,Jetton + amount + bin,ton://transfer/UQCae11h9N5znylEPRjmuLYGvIwnxkcCw4zVW4BJjVASi5eL?amount=1&jetton=EQCxE6mUtQJKFnGfaROTKOt1lZbDiiX1kCixRv7Nw2Id_sDs&bin=te6cckEBAQEACQAADgAAAABiaW793PSE,Confirmation screen showing jetton amount; includes binary payload (bin); text 'bin' (default bin).,,ok,ok,not_ok,partial
jetton-amount-exp,Jetton + amount + exp,ton://transfer/UQCae11h9N5znylEPRjmuLYGvIwnxkcCw4zVW4BJjVASi5eL?amount=1&jetton=EQCxE6mUtQJKFnGfaROTKOt1lZbDiiX1kCixRv7Nw2Id_sDs&exp=1756198744,Confirmation screen showing jetton amount; valid until exp; after expiration wallet rejects.,30 секунд в будущем почему то не валидная ссылка (на много в будущее - валидно),not_ok,not_ok,not_ok,not_ok
jetton-exp,Jetton + exp (no amount),ton://transfer/UQCae11h9N5znylEPRjmuLYGvIwnxkcCw4zVW4BJjVASi5eL?jetton=EQCxE6mUtQJKFnGfaROTKOt1lZbDiiX1kCixRv7Nw2Id_sDs&exp=1756198744,Jetton send screen; valid until exp; after expiration wallet rejects.,"Кажется Exp не будет использован, тесткейс невалиден?",not_ok,not_ok,not_ok,not_ok
jetton-bin-no-amount-invalid,Jetton + bin without amount (invalid),ton://transfer/UQCae11h9N5znylEPRjmuLYGvIwnxkcCw4zVW4BJjVASi5eL?jetton=EQCxE6mUtQJKFnGfaROTKOt1lZbDiiX1kCixRv7Nw2Id_sDs&bin=te6ccgEBAQEANwAAaV0r640BleSq4Ql3m5OrdlSApYTNRMdDGUFXwTpwZ1oe1G8cPlS_Zym8CwoAdO4mWSned-Fg,Expected: Reject. bin requires amount.,,not_ok,not_ok,ok,not_ok
jetton-text-bin-invalid,Jetton + text + bin (invalid),ton://transfer/UQCae11h9N5znylEPRjmuLYGvIwnxkcCw4zVW4BJjVASi5eL?amount=1&jetton=EQCxE6mUtQJKFnGfaROTKOt1lZbDiiX1kCixRv7Nw2Id_sDs&text=test&bin=te6ccgEBAQEANwAAaV0r640BleSq4Ql3m5OrdlSApYTNRMdDGUFXwTpwZ1oe1G8cPlS_Zym8CwoAdO4mWSned-Fg,Expected: Reject. text and bin are mutually exclusive.,,ok,ok,ok,ok
jetton-expired,Jetton expired (invalid),ton://transfer/UQCae11h9N5znylEPRjmuLYGvIwnxkcCw4zVW4BJjVASi5eL?amount=1&jetton=EQCxE6mUtQJKFnGfaROTKOt1lZbDiiX1kCixRv7Nw2Id_sDs&exp=1756198744,Expected: Reject. Current time > exp.,,not_ok,not_ok,ok,not_ok
jetton-dns,Jetton + DNS address,ton://transfer/subbotin.ton?amount=1&jetton=EQCxE6mUtQJKFnGfaROTKOt1lZbDiiX1kCixRv7Nw2Id_sDs,Confirmation screen showing jetton amount; DNS resolved.,,ok,ok,not_ok,ok
jetton-amount-bin-exp,Jetton + amount + bin + exp,ton://transfer/UQCae11h9N5znylEPRjmuLYGvIwnxkcCw4zVW4BJjVASi5eL?amount=1&jetton=EQCxE6mUtQJKFnGfaROTKOt1lZbDiiX1kCixRv7Nw2Id_sDs&bin=te6cckEBAQEACQAADgAAAABiaW793PSE&exp=1756198744,Confirmation screen showing jetton amount; includes binary payload (bin); text 'bin' (default bin); valid until exp; after expiration wallet rejects.,30 секунд в будущем почему то не валидная ссылка (на много в будущее - валидно),not_ok,not_ok,not_ok,not_ok
buy-ton,Buy TON,ton://buy-ton,Opens on‑ramp flow.,,not_ok,ok,not_ok,not_ok
staking,Staking,ton://staking,Opens staking screen.,,not_ok,ok,not_ok,not_ok
pool,Pool/{ADDRESS},ton://pool/UQCae11h9N5znylEPRjmuLYGvIwnxkcCw4zVW4BJjVASi5eL,Opens a specific liquidity pool.,,not_ok,,not_ok,not_ok
exchange-provider,Exchange (provider only),ton://exchange?provider=mercurio,Opens exchange with selected provider.,,not_ok,not_ok,not_ok,not_ok
exchange-provider-toToken,Exchange (provider + toToken),ton://exchange?provider=mercurio&toToken=TON,Opens exchange with provider and target token.,,not_ok,not_ok,not_ok,not_ok
swap,Swap from TON to USDT,ton://swap?fromToken=TON&toToken=USDT,Opens swap interface prefilled.,,not_ok,ok,not_ok,not_ok
battery,Battery (with promocode),ton://battery?promocode=TEST,Opens battery screen.,,not_ok,ok,not_ok,not_ok
action,Action (eventId),ton://action?eventId=123,Opens transaction bottom sheet for eventId.,,not_ok,not_ok,not_ok,not_ok
dapp,DApp (catalog) https URL,ton://dapp/https://ton.org,Opens in‑app browser with a DApp from catalog.,,not_ok,ok,not_ok,not_ok
